dates,RPI,UNRATE,PAYEMS,WPSFD49207,PCEPI,GS5,GS10,BAAFFM
723851,1.5102567945803,8.3,-2.74772649374597,3.68286734090084,6.39931864265488,13.38,13.39,3.08
723881,-0.715504157417968,8.5,-3.63824386437415,4.89297313998733,3.71940085135876,13.6,13.72,4.18
723912,-2.69624984404686,8.6,-4.36460307017441,7.3022537706553,7.12045329632716,14.65,14.59,3.88
723943,5.06998420969538,8.9,-0.0265005962646114,-1.21396064981312,3.58305405563613,14.54,14.43,2.4
723971,-0.858330533259988,9,-1.71052587845253,0,3.08470243980334,13.98,13.86,2.14
724002,8.24859740164356,9.3,-3.77442387994762,2.42669445692094,0.615990089241691,14,13.87,1.84
724032,-0.117409711915428,9.4,-0.572515918702976,0,7.08676067496334,13.75,13.62,2.19
724063,-4.12496577756869,9.6,-3.2271706156898,9.65799981939419,8.66705028919217,14.43,14.3,2.77
724093,-0.0175607863567961,9.8,-4.60237148952771,4.80000640001492,7.09530836505241,14.07,13.95,4.21
724124,2.21695623356339,9.8,-2.11981003672506,4.78088281784963,3.72023172344882,13,13.06,6.2
724155,-0.672997799545527,10.1,-2.41954536284581,1.19225047065363,3.33337028635849,12.25,12.34,5.32
724185,-0.926830570787018,10.4,-3.71947066270479,3.56966054009149,6.71375801036049,10.8,10.91,5.02
724216,4.45723819727206,10.8,-1.63427959956408,4.74308917898796,3.5786055887538,10.38,10.55,5.1
724246,5.98526225281404,10.8,-0.202751792865286,4.72441555120682,1.81008599166432,10.22,10.54,5.19
724277,-1.58118687459563,10.4,2.95678054196031,-9.46750473019478,5.61124092535898,10.03,10.46,5.26
724308,0.717967252643348,10.4,-0.984784240264247,1.1875310221992,2.02053435827327,10.26,10.72,5.44
724336,5.65114713420627,10.3,2.33249327680056,-1.1875310221992,1.5500540368377,10.08,10.51,4.84
724367,0.878295809674512,10.2,3.68498614074895,1.1875310221992,5.4706680596416,10.02,10.4,4.49
724397,6.0932729488961,10.1,3.75402522819854,3.55555815678876,3.39739312201601,10.03,10.38,4.46
724428,1.64555098670931,10.1,5.03604668672111,2.36453278475821,4.45820946223598,10.63,10.85,4.39
724458,3.43498273488265,9.4,5.532599100939,0,6.74104585509205,11.21,11.38,4.02
