dates,RPI,DPCERA3M086SBEA,INDPRO,CUMFNS,UNRATE,PAYEMS,CES0600000007,CES0600000008,WPSFD49207,PCEPI,HOUST,SP500,EXUSUKx,GS5,GS10,BAAFFM
735631,7.64747145094162,6.74336659075223,10.121753569792,74.3883,6.7,1.44734851994386,40.8,5.58920432877681,2.4000007999998,0.633548767662262,6.8501261661455,-3.50827309288064,6.39458943247815,1.52,2.71,5.03
735659,6.18199281282514,4.88163122177525,11.4962600006201,75.0219,6.7,2.21124401482271,41.5,-1.11576019195976,3.59102512374463,2.35527400002198,6.87729607149743,30.3100426694169,4.77367876830912,1.64,2.72,4.98
735690,3.55559173008331,4.22478432322286,0.552894965474948,74.918,6.2,2.82341828862371,41.3,0.558009775226154,5.36646857111016,2.21045153557142,6.94985645500077,0.476422971132706,8.91769656003039,1.7,2.71,4.81
735720,3.96099596241157,2.51156287881749,4.3283139932683,75.1567,6.3,1.89014648694297,41.4,1.11524171595949,-4.17184428130781,1.96143337242134,6.91473089271856,16.3091244358007,6.71630214108405,1.59,2.56,4.67
735751,5.56260969978766,5.00741068502961,4.48125799683581,75.4524,6.1,2.82100595758266,41.5,1.11420620818237,2.98136799319479,1.28253721364224,6.81454289725996,35.8569860862627,4.69333931609173,1.68,2.6,4.7
735781,4.40727234143523,2.84053742482833,2.3610614572128,75.8209,6.2,2.00355562437551,41.5,3.33642476284517,0,1.76998052506221,6.98933526597456,15.9239516520923,11.1615568918194,1.7,2.54,4.64
735812,6.37733629872841,8.37883521638645,-1.33122213332832,75.4529,6.1,1.62112080301782,41.5,2.21914071564502,-0.595681322731068,-0.209466733141639,6.89162589705225,-7.05735483027503,-26.0153528300204,1.63,2.42,4.6
735843,4.26815315213815,0.707002576683635,3.57991561804738,75.4817,5.9,2.6597529744862,41.6,1.10803331972278,-3.58031096026608,0.256009931053924,6.93049476595163,19.2379890213441,-29.8287561705067,1.77,2.53,4.71
735873,5.49323046819907,7.30784420835846,0.248335102078912,75.456,5.7,2.16476306451696,41.6,0.553633227813144,-3.59102512374463,-0.337479091612991,6.97914527506881,-34.1720075573303,-16.0180353881125,1.55,2.3,4.6
735904,6.17387755269618,4.12859361247477,9.34822804485229,76.1227,5.8,2.49493707853006,41.6,0.553377920805076,-4.20315666144191,-0.954765143223568,6.90875477931522,64.6892794981209,-22.8362991421272,1.62,2.33,4.7
735934,7.41131430573603,3.450319501761,-1.74394498257548,75.9411,5.6,2.29316327993914,41.6,-0.553377920805076,-16.3515020541187,-1.97014708634455,6.9782137426307,5.67966631034693,-9.70242433458348,1.64,2.21,4.62
735965,12.2173587423347,3.69862344001426,-5.96248281249814,75.6877,5.7,1.63163633673093,41.5,2.76434123627123,-21.5335180846413,-5.58994510678588,6.98933526597456,-15.338057410122,-39.1381406545834,1.37,1.88,4.34
735996,4.59115127069794,3.22836973449512,-6.10833342493358,75.2158,5.5,2.31124386053452,41.4,-2.21096331546615,1.24095150666186,1.96763595979412,6.78671695060508,31.5434254462001,14.7289434034265,1.47,1.98,4.4
736024,-2.41187361788917,3.07455971420048,-3.37453905838032,75.5185,5.4,0.604793641173273,41.2,7.72061486768365,4.33325206486579,2.30318512254613,6.86693328446188,-1.27432925898496,-29.4002224973933,1.52,2.04,4.43
